trial,item_no,item_id,type,expset,condition,social_context,target_context,register_match,grammatical,context,critical,sentence,picture1,picture2,picture3,picture4,context_norm
practice,practice,practice,practice,practice,practice,practice,practice,practice,practice,Hochtrabend daherkommend*erwähnte*der Profi:,"Ich*mutmaße,*dass*die Reparatur*trotz der fairen Versicherung*teuer ist. ",Welches Bild passt am besten zu dem vorherigen Satz?,practice1rel1.jpg,practice1rel2.jpg,practice1unrel1.jpg,practice1unrel2.jpg,Hochtrabend daherkommend erwähnte der Profi:
practice,practice,practice,practice,practice,practice,practice,practice,practice,practice,Gut gelaunt*sagte*die Studentin:,Ich*schreibe*später*meine Hausaufgaben*in der Bibliothek.,Welches Bild passt am besten zu dem vorherigen Satz?,practice2rel1.jpg,practice2rel2.jpg,practice2unrel1.jpg,practice2unrel2.jpg,Gut gelaunt sagte die Studentin:
practice,practice,practice,practice,practice,practice,practice,practice,practice,practice,Minimal verunsichert*benannte*Anne:,"Ich*ahne,*dass*der Fleck*trotz der starken Reinigung*bleibt.",Welches Bild passt am besten zu dem vorherigen Satz?,practice3rel1.jpg,practice3rel2.jpg,practice3unrel1.jpg,practice3unrel2.jpg,Minimal verunsichert benannte Anne:
1,49,9,filler,SocStat,a,high,high,match,yes,Ein Streifenpolizist*braucht*eine gute Intuition.,"Ich*befürchte,*dass*die Strecke*wegen des frühen Rennens*umgeleitet ist.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler9_socstat_related_1.jpg,Filler9_socstat_related_2.jpg,Filler9_socstat_unrelated_1.jpg,Filler9_socstat_unrelated_2.jpg,Ein Streifenpolizist braucht eine gute Intuition.
2,69,5,filler,WP2,g,low,high,mismatch,yes,Der Pöbel*erzählte*überall rum:,Der Bischof*tadelte*den Herrscher.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler5_WP2_related_1.jpg,Filler5_WP2_related_2.jpg,Filler5_WP2_unrelated_1.jpg,Filler5_WP2_unrelated_2.jpg,Der Pöbel erzählte überall rum:
3,33,33,critical,WP1,d,low,high,mismatch,yes,Ganz doll wacker*wiehert*Elisabeth:,Ich*lese*später*meine Bücher*in der Bücherei.,Welches Bild passt am besten zu dem vorherigen Satz?,Buecher-1.jpg,Waelzer-1.jpg,Schorle-1.jpg,Brause-1.jpg,Ganz doll wacker wiehert Elisabeth:
4,23,23,critical,WP1,e,low,low,match,no,Emisg werkelnd*labert*Lars:,Ich*kämme*gleich*meine Pulle*bei dem Frisör.,Welches Bild passt am besten zu dem vorherigen Satz?,Pulle-1.jpg,Flasche-1.jpg,Haare-1.jpg,Maehne-1.jpg,Emisg werkelnd labert Lars:
5,39,39,critical,WP1,d,low,high,mismatch,yes,Lässig chillend*quasselt*Sabine:,Ich*betreibe*jetzt*meine Pension*in der Region.,Welches Bild passt am besten zu dem vorherigen Satz?,Pension-1.jpg,Absteige-1.jpg,Hausschuhe-1.jpg,Schlappen-1.jpg,Lässig chillend quasselt Sabine:
6,45,5,filler,SocStat,a,high,high,match,yes,Jans Eltern*verlangen*als Professoren*viel*von ihrem Sohn*ab.,"Ich*denke,*dass*die Studie*wegen des groben Versehens*abgesagt ist.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler5_socstat_related_1.jpg,Filler5_socstat_related_2.jpg,Filler5_socstat_unrelated_1.jpg,Filler5_socstat_unrelated_2.jpg,Jans Eltern verlangen als Professoren viel von ihrem Sohn ab.
7,43,3,filler,SocStat,a,high,high,match,yes,Herr Kluge*bemüht sich*sehr*als Politiker.,"Ich*nehme an,*dass*die Absperrung*wegen der langen Konferenz*bestehen bleibt.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler3_socstat_related_1.jpg,Filler3_socstat_related_2.jpg,Filler3_socstat_unrelated_1.jpg,Filler3_socstat_unrelated_2.jpg,Herr Kluge bemüht sich sehr als Politiker.
